spelares_kort,datorns_kort,vinnare
"R 12","R 3",spelare
"K 9","H 3",spelare
"R 4","S 11",dator
"S 2","K 2",oavgjort
"S 8","S 7",spelare
"H 3","H 13",dator
"R 1","S 8",dator
"R 13","S 1",spelare
"H 1","K 13",dator
"K 5","H 2",spelare
"H 13","H 10",spelare
"R 5","S 8",dator
"H 9","S 9",oavgjort
"R 4","R 2",spelare
"R 13","K 2",spelare
"S 4","H 3",spelare
"R 7","S 8",dator
"K 12","R 5",spelare
"S 13","H 10",spelare
"H 3","K 4",dator
"S 8","S 7",spelare
"S 1","K 1",oavgjort
"K 1","S 4",dator
"K 8","R 5",spelare
"R 12","S 13",dator
"S 4","R 5",dator
"S 2","S 12",dator
"R 9","R 7",spelare
"R 1","K 10",dator
"H 2","K 3",dator
"H 3","H 1",spelare
"R 3","K 3",oavgjort
"H 10","R 4",spelare
"S 8","S 13",dator
"R 7","R 13",dator
"S 6","K 11",dator
"H 8","H 2",spelare
"R 4","S 13",dator
"H 13","K 2",spelare
"H 5","R 3",spelare
"R 4","S 2",spelare
"S 5","R 3",spelare
"R 7","R 11",dator
"K 11","H 8",spelare
"R 9","R 12",dator
"K 5","R 13",dator
"H 7","K 5",spelare
"R 10","S 9",spelare
"K 7","S 8",dator
"R 12","H 11",spelare
"K 10","R 9",spelare
"R 4","R 12",dator
"K 12","R 2",spelare
"H 13","S 7",spelare
"R 3","R 5",dator
"R 3","R 1",spelare
"R 13","K 10",spelare
"R 8","R 7",spelare
"S 5","H 10",dator
"K 1","H 8",dator
"H 5","H 7",dator
"R 6","H 13",dator
"K 4","S 3",spelare
"K 8","H 10",dator
"K 4","H 3",spelare
"S 6","R 9",dator
"K 1","S 2",dator
"S 12","S 10",spelare
"H 11","K 12",dator
"H 10","K 5",spelare
"R 5","K 5",oavgjort
"S 1","H 1",oavgjort
"S 3","R 3",oavgjort
"K 4","K 7",dator
"H 4","R 2",spelare
"S 12","R 11",spelare
"R 2","H 4",dator
"R 12","H 10",spelare
"S 12","R 9",spelare
"K 10","S 1",spelare
"R 13","H 11",spelare
"S 7","H 6",spelare
"K 5","R 10",dator
"R 3","H 1",spelare
"R 8","H 2",spelare
"H 2","S 4",dator
"S 7","K 1",spelare
"S 10","H 3",spelare
"R 2","H 7",dator
"K 4","S 6",dator
"R 1","R 3",dator
"R 2","R 3",dator
"H 8","K 13",dator
"S 6","K 5",spelare
"H 12","K 9",spelare
"R 12","K 10",spelare
"S 4","R 3",spelare
"R 10","R 1",spelare
"R 5","K 12",dator
"R 11","K 2",spelare
"R 5","S 13",dator
"R 9","S 11",dator
"R 6","R 13",dator
"K 6","R 7",dator
"K 8","K 4",spelare
"H 10","R 6",spelare
"H 11","S 9",spelare
"S 6","K 11",dator
"S 9","H 2",spelare
"R 2","K 5",dator
"S 9","K 2",spelare
"R 6","R 13",dator
"R 6","S 6",oavgjort
"R 9","R 1",spelare
"K 11","H 3",spelare
"K 6","S 5",spelare
"H 2","S 12",dator
"R 5","K 10",dator
